SCHOOL ID,SCHOOL NAME,GRADE,YEAR,READ-WARNING,READ-NOTMEET,READ-MEET,READ-EXCEED,MATH-WARNING,MATH-NOTMEET,MATH-MEET,MATH-EXCEED
150162990007C,YOUNG WOMENS LEADERSHIP CHARTR HS,7,2010,2.4,24.4,68.3,4.9,7.3,24.4,61,7.3
150162990007C,YOUNG WOMENS LEADERSHIP CHARTR HS,7,2011,0,20.6,64.7,14.7,5.7,20,65.7,8.6
150162990007C,YOUNG WOMENS LEADERSHIP CHARTR HS,7,2012,0,39.4,51.5,9.1,0,39.4,54.5,6.1
150162990007C,YOUNG WOMENS LEADERSHIP CHARTR HS,7,2013,0,59,41,0,10.3,61.5,28.2,0
150162990007C,YOUNG WOMENS LEADERSHIP CHARTR HS,7,2014,7,53.5,37.2,2.3,30.2,46.5,23.3,0
150162990007C,YOUNG WOMENS LEADERSHIP CHRTR HS ,8,2009,54.6,35.6,0,22.4,74.6,9,2,46.9
150162990007C,YOUNG WOMENS LEADERSHIP CHARTR HS,8,2010,0,32.6,67.4,0,0,27.9,67.4,4.7
150162990007C,YOUNG WOMENS LEADERSHIP CHARTR HS,8,2011,0,24.5,73.5,2,0,20.4,69.4,10.2
150162990007C,YOUNG WOMENS LEADERSHIP CHARTR HS,8,2012,0,18.6,79.1,2.3,0,37.2,55.8,7
150162990007C,YOUNG WOMENS LEADERSHIP CHARTR HS,8,2013,9.8,65.9,22,2.4,26.8,65.9,7.3,0
150162990007C,YOUNG WOMENS LEADERSHIP CHARTR HS,8,2014,9.8,56.1,31.7,2.4,19,61.9,19,0
150162990008C,ASPIRA CHARTER HIGH SCHOOL       ,6,2009,0,46.5,45.8,7.6,3.5,36.4,46.9,13.3
150162990008C,ASPIRA CHARTER HIGH SCHOOL       ,6,2010,3,40,49,8,2,37,51,10
150162990008C,ASPIRA CHARTER HIGH SCHOOL       ,6,2011,0,29,61.3,9.7,0,27.4,66.9,5.6
150162990008C,ASPIRA CHARTER HIGH SCHOOL       ,6,2012,0.8,39.7,50,9.5,1.6,29.4,57.1,11.9
150162990008C,ASPIRA CHARTER HIGH SCHOOL       ,6,2013,11.1,50.4,34.2,4.3,14.5,48.7,32.5,4.3
150162990008C,ASPIRA CHARTER HIGH SCHOOL       ,6,2014,12.8,52.8,31.2,3.2,14.4,39.2,42.4,4
150162990008C,ASPIRA CHARTER HIGH SCHOOL       ,7,2009,57.2,34,2.3,32.4,56.8,20.7,3.4,24.6
150162990008C,ASPIRA CHARTER HIGH SCHOOL       ,7,2010,0.5,40.4,52.8,6.2,4.7,18.7,58,18.7
150162990008C,ASPIRA CHARTER HIGH SCHOOL       ,7,2011,4.7,31.8,58.3,5.2,5.7,21.3,60.7,12.3
150162990008C,ASPIRA CHARTER HIGH SCHOOL       ,7,2012,0.9,35.5,57.1,6.5,4.3,18.1,60.8,16.8
150162990008C,ASPIRA CHARTER HIGH SCHOOL       ,7,2013,13,40.4,39.9,6.7,8.5,30.8,54.5,6.3
150162990008C,ASPIRA CHARTER HIGH SCHOOL       ,7,2014,9,42,42,7.1,8.5,33,54.7,3.8
150162990008C,ASPIRA CHARTER HIGH SCHOOL       ,8,2009,54.6,35.6,0.6,37.8,74.6,9,1.7,39.9
150162990008C,ASPIRA CHARTER HIGH SCHOOL       ,8,2010,0,23.2,72.4,4.4,1.1,16.1,53.3,29.4
150162990008C,ASPIRA CHARTER HIGH SCHOOL       ,8,2011,1,30.1,68.4,0.5,1,25,51,23.1
150162990008C,ASPIRA CHARTER HIGH SCHOOL       ,8,2012,0,28,71.1,0.9,0.9,29.7,54.3,15.1
150162990008C,ASPIRA CHARTER HIGH SCHOOL       ,8,2013,10.7,48,34.2,7.1,7.1,48.2,42,2.7
150162990008C,ASPIRA CHARTER HIGH SCHOOL       ,8,2014,13.2,45.7,35.2,5.9,9.6,34.2,49.3,6.8
150162990015C,EPIC ACADEMY HIGH SCHOOL         ,8,2013,.b,.b,.b,.b,.b,.b,.b,.b
1501629900526,CHICAGO VOCATIONAL HIGH SCHOOL          ,8,1997,.a,.b,.b,.b,.a,.b,.b,.b
1501629900764,YOUNG MAGNET HIGH SCHOOL         ,7,2006,0,0,15.2,84.8,0,0,3.6,96.4
1501629900764,YOUNG MAGNET HIGH SCHOOL         ,7,2007,0,0,24.1,75.9,0,0,0,100
1501629900764,YOUNG MAGNET HIGH SCHOOL         ,7,2008,0,0,10.1,89.9,0,0,0,100
1501629900764,YOUNG MAGNET HIGH SCHOOL         ,7,2009,.b,.b,0,0,56.8,20.7,0,0
1501629900764,YOUNG MAGNET HIGH SCHOOL         ,7,2010,0,0,16.7,83.3,0,0,0,100
1501629900764,YOUNG MAGNET HIGH SCHOOL         ,7,2011,0,0,7.8,92.2,0,0,0.9,99.1
1501629900764,YOUNG MAGNET HIGH SCHOOL         ,7,2012,0,0,10.1,89.9,0,0,0.9,99.1
1501629900764,YOUNG MAGNET HIGH SCHOOL         ,7,2013,0,0.8,14.4,84.7,0,0,11,89
1501629900764,YOUNG MAGNET HIGH SCHOOL         ,7,2014,0,0,13.7,86.3,0,0,22.2,77.8
1501629900764,YOUNG MAGNET HIGH SCHOOL                ,8,1997,.a,0,34,66,.a,0,3,97
1501629900764,YOUNG MAGNET HIGH SCHOOL                ,8,1998,.a,0,37,63,.a,0,3,97
1501629900764,YOUNG MAGNET HIGH SCHOOL         ,8,1999,0,0,15,85,0,0,23,77
1501629900764,YOUNG MAGNET HIGH SCHOOL         ,8,2000,0,0,13,87,0,0,11,89
1501629900764,YOUNG MAGNET HIGH SCHOOL         ,8,2001,0,0,29,71,0,0,14,86
1501629900764,YOUNG MAGNET HIGH SCHOOL         ,8,2002,0,0,18.7,81.3,0,0,4.7,95.3
1501629900764,YOUNG MAGNET HIGH SCHOOL         ,8,2003,0,0.9,27,72.2,.b,.b,.b,.b
1501629900764,YOUNG MAGNET HIGH SCHOOL         ,8,2004,0,0,31,69,0,0,3.5,96.5
1501629900764,YOUNG MAGNET HIGH SCHOOL         ,8,2005,0,0,15.7,84.3,0,0,2.8,97.2
1501629900764,YOUNG MAGNET HIGH SCHOOL         ,8,2006,0,0,25.5,74.5,0,0,3.8,96.2
1501629900764,YOUNG MAGNET HIGH SCHOOL         ,8,2007,0,0,25.2,74.8,0,0,0.9,99.1
1501629900764,YOUNG MAGNET HIGH SCHOOL         ,8,2008,0,0,34.6,65.4,0,0,0.9,99.1
1501629900764,YOUNG MAGNET HIGH SCHOOL         ,8,2009,54.6,35.6,0,0,74.6,9,0,0
1501629900764,YOUNG MAGNET HIGH SCHOOL         ,8,2010,0,0,45.3,54.7,0,0,0,100
1501629900764,YOUNG MAGNET HIGH SCHOOL         ,8,2011,0,0,39.6,60.4,0,0,0,100
1501629900764,YOUNG MAGNET HIGH SCHOOL         ,8,2012,0,0,28.7,71.3,0,0,1.7,98.3
